board_id,fe_id,channel,bl_e,bl_t,dead_time,do_t1_delay,g_e,g_q,g_t,masked,meas_mode,qdc_max_intg_t,qdc_min_intg_t,thr_e,thr_e_bl,thr_t1,thr_t1_bl,thr_t2,thr_t2_bl,trig_b,trig_e,trig_q,trig_t
57,0,0,6,57,0,"3_ns",300,"3_65",3000,0,"qdc",23,23,62,58,15,58,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,1,6,54,0,"3_ns",300,"3_65",3000,0,"qdc",24,24,62,60,15,57,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,10,5,55,0,"3_ns",300,"3_65",3000,0,"qdc",31,31,62,48,15,56,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,11,5,57,0,"3_ns",300,"3_65",3000,0,"qdc",24,24,62,46,15,58,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,12,6,55,0,"3_ns",300,"3_65",3000,0,"qdc",26,26,62,59,15,59,15,58,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,13,5,57,0,"3_ns",300,"3_65",3000,0,"qdc",24,24,62,46,15,58,15,58,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,14,5,51,0,"3_ns",300,"3_65",3000,0,"qdc",26,26,62,47,15,56,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,15,6,54,0,"3_ns",300,"3_65",3000,0,"qdc",24,24,62,56,15,59,15,60,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,16,5,55,0,"3_ns",300,"3_65",3000,0,"qdc",25,25,62,48,15,58,15,57,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,17,6,56,0,"3_ns",300,"3_65",3000,0,"qdc",26,26,62,57,15,53,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,18,5,56,0,"3_ns",300,"3_65",3000,0,"qdc",26,26,62,47,15,58,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,19,6,57,0,"3_ns",300,"3_65",3000,0,"qdc",26,26,62,58,15,56,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,2,5,58,0,"3_ns",300,"3_65",3000,0,"qdc",26,26,62,46,15,57,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,20,6,56,0,"3_ns",300,"3_65",3000,0,"qdc",28,28,62,58,15,56,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,21,6,58,0,"3_ns",300,"3_65",3000,0,"qdc",28,28,62,56,15,59,15,58,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,22,6,56,0,"3_ns",300,"3_65",3000,0,"qdc",27,27,62,55,15,56,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,23,5,54,0,"3_ns",300,"3_65",3000,0,"qdc",23,23,62,46,15,51,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,24,5,58,0,"3_ns",300,"3_65",3000,0,"qdc",27,27,62,46,15,57,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,25,5,56,0,"3_ns",300,"3_65",3000,0,"qdc",24,24,62,47,15,58,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,26,5,58,0,"3_ns",300,"3_65",3000,0,"qdc",26,26,62,48,15,58,15,58,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,27,5,55,0,"3_ns",300,"3_65",3000,0,"qdc",27,27,62,47,15,55,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,28,6,55,0,"3_ns",300,"3_65",3000,0,"qdc",27,27,62,58,15,58,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,29,6,54,0,"3_ns",300,"3_65",3000,0,"qdc",25,25,62,58,15,57,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,3,6,52,0,"3_ns",300,"3_65",3000,0,"qdc",25,25,62,56,15,56,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,30,6,54,0,"3_ns",300,"3_65",3000,0,"qdc",26,26,62,58,15,56,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,31,6,56,0,"3_ns",300,"3_65",3000,0,"qdc",24,24,62,58,15,56,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,32,5,56,0,"3_ns",300,"3_65",3000,0,"qdc",27,27,62,47,15,59,15,58,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,33,6,55,0,"3_ns",300,"3_65",3000,0,"qdc",27,27,62,56,15,56,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,34,6,52,0,"3_ns",300,"3_65",3000,0,"qdc",23,23,62,57,15,58,15,57,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,35,6,58,0,"3_ns",300,"3_65",3000,0,"qdc",24,24,62,56,15,57,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,36,6,56,0,"3_ns",300,"3_65",3000,0,"qdc",27,27,62,60,15,58,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,37,6,54,0,"3_ns",300,"3_65",3000,0,"qdc",29,29,62,58,15,58,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,38,6,57,0,"3_ns",300,"3_65",3000,0,"qdc",28,28,62,60,15,56,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,39,6,49,0,"3_ns",300,"3_65",3000,0,"qdc",23,23,62,60,15,58,15,58,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,4,6,57,0,"3_ns",300,"3_65",3000,0,"qdc",26,26,62,60,15,58,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,40,6,58,0,"3_ns",300,"3_65",3000,0,"qdc",28,28,62,57,15,59,15,58,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,41,6,59,0,"3_ns",300,"3_65",3000,0,"qdc",26,26,62,57,15,58,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,42,6,54,0,"3_ns",300,"3_65",3000,0,"qdc",26,26,62,58,15,58,15,57,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,43,6,56,0,"3_ns",300,"3_65",3000,0,"qdc",23,23,62,59,15,59,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,44,6,57,0,"3_ns",300,"3_65",3000,0,"qdc",28,28,62,59,15,57,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,45,5,56,0,"3_ns",300,"3_65",3000,0,"qdc",24,24,62,47,15,56,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,46,6,55,0,"3_ns",300,"3_65",3000,0,"qdc",25,25,62,58,15,57,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,47,6,54,0,"3_ns",300,"3_65",3000,0,"qdc",25,25,62,57,15,55,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,48,6,58,0,"3_ns",300,"3_65",3000,0,"qdc",29,29,62,58,15,56,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,49,5,57,0,"3_ns",300,"3_65",3000,0,"qdc",24,24,62,46,15,55,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,5,6,53,0,"3_ns",300,"3_65",3000,0,"qdc",24,24,62,59,15,58,15,57,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,50,5,52,0,"3_ns",300,"3_65",3000,0,"qdc",28,28,62,47,15,52,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,51,5,54,0,"3_ns",300,"3_65",3000,0,"qdc",27,27,62,47,15,59,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,52,6,51,0,"3_ns",300,"3_65",3000,0,"qdc",26,26,62,57,15,58,15,58,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,53,6,54,0,"3_ns",300,"3_65",3000,0,"qdc",25,25,62,57,15,58,15,57,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,54,6,56,0,"3_ns",300,"3_65",3000,0,"qdc",25,25,62,60,15,58,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,55,5,56,0,"3_ns",300,"3_65",3000,0,"qdc",26,26,62,47,15,55,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,56,6,53,0,"3_ns",300,"3_65",3000,0,"qdc",24,24,62,58,15,55,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,57,5,53,0,"3_ns",300,"3_65",3000,0,"qdc",23,23,62,46,15,56,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,58,6,53,0,"3_ns",300,"3_65",3000,0,"qdc",23,23,62,56,15,58,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,59,6,54,0,"3_ns",300,"3_65",3000,0,"qdc",24,24,62,58,15,56,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,6,6,56,0,"3_ns",300,"3_65",3000,0,"qdc",24,24,62,56,15,58,15,58,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,60,5,60,0,"3_ns",300,"3_65",3000,0,"qdc",24,24,62,47,15,57,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,61,5,54,0,"3_ns",300,"3_65",3000,0,"qdc",25,25,62,47,15,58,15,57,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,62,6,55,0,"3_ns",300,"3_65",3000,0,"qdc",25,25,62,55,15,55,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,63,6,53,0,"3_ns",300,"3_65",3000,0,"qdc",28,28,62,59,15,54,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,7,5,56,0,"3_ns",300,"3_65",3000,0,"qdc",27,27,62,44,15,58,15,58,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,8,6,57,0,"3_ns",300,"3_65",3000,0,"qdc",25,25,62,56,15,56,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,0,9,6,53,0,"3_ns",300,"3_65",3000,0,"qdc",28,28,62,59,15,56,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
57,1,32,5,56,0,"3_ns",300,"3_65",3000,0,"qdc",25,25,62,46,15,58,15,58,"t1_or_t2","not_t2","t2","t1_and_t2"
57,1,33,6,56,0,"3_ns",300,"3_65",3000,0,"qdc",25,25,62,57,15,57,15,57,"t1_or_t2","not_t2","t2","t1_and_t2"
57,1,34,5,55,0,"3_ns",300,"3_65",3000,0,"qdc",26,26,62,45,15,53,15,59,"t1_or_t2","not_t2","t2","t1_and_t2"
